Log File,state_accept_epoch,state_running_time,state_running_epoch,waiting_time_to_run,spark_driver_start_time,spark_driver_start_time_epoch,spark_driver_memory,spark_executor_memory,memoryStore_capacity,job_result,job_successfully_completed_at_time,job_successfully_completed_at_time_epoch,job_failed_at_time,job_failed_at_time_epoch,waiting_time_to_accept,successful_job_completion_time,failed_job_completion_time
application_1513303661803_24431_sai.medikonda.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20217_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22746_asrd.cp.big.data.services.team.log,1513771270, 17/12/20 12:01:15,1513771275,5, 17/12/20 12:01:05,1513771265, 512M, 512M, 143.6MB, Job completed successfully, 17/12/20 12:01:35,1513771295, NA, NA,5,20, NA
application_1513303661803_20183_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24472_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24021_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_28012_asrd.cp.big.data.services.team.log,1513940668, 17/12/22 11:04:34,1513940674,6, 17/12/22 11:04:24,1513940664, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/22 11:05:06,1513940706, NA, NA,4,32, NA
application_1513303661803_20514_asrd.cp.big.data.services.team.log,1513713661, 17/12/19 20:01:06,1513713666,5, 17/12/19 20:00:55,1513713655, 512M, 512M, 143.6MB, Job completed successfully, 17/12/19 20:01:30,1513713690, NA, NA,6,24, NA
application_1513303661803_23429_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23092_asrd.cp.big.data.services.team.log,1513783221, 17/12/20 15:20:33,1513783233,12, 17/12/20 15:20:17,1513783217, 15G, 10G, 10.6GB, Job completed successfully, 17/12/20 15:25:51,1513783551, NA, NA,4,318, NA
application_1513303661803_18866_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 8.5GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21959_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22641_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
